AC	SHORTLABEL	TAXID
EBI-9024913	crodu	8732
EBI-541615	mouse-brain-cerebellum	10090
EBI-9025468	simian rotavirus a strain rrv	444185
EBI-9025469	rv-a	10969
EBI-9025482	rotavirus a	28875
EBI-550192	serma	615
EBI-592279	syne7	1140
EBI-593033	brana	3708
EBI-593151	azovi	354
EBI-593905	anaso	1168
EBI-594622	human-a_498	9606
EBI-595058	mouse-c3h10t1_2	10090
EBI-604700	mus	10095
EBI-605116	agrt9	190386
EBI-605891	uni	32644
EBI-606100	rhird	358
EBI-606299	allce	4679
EBI-617664	human-tf1	9606
EBI-617934	mouse-ba_f3	10090
EBI-617940	mouse-da3	10090
EBI-618521	entfl	1351
EBI-619524	mycle	1769
EBI-624619	human-mammary epithelium	9606
EBI-624747	human-caco2	9606
EBI-625038	human-ramos	9606
EBI-625798	orysa	4530
EBI-626443	human-saos-2	9606
EBI-626439	human-ws1	9606
EBI-626473	shv21	10383
EBI-626600	hhv8	37296
EBI-626846	synel	32046
EBI-630412	avesa	4498
EBI-630427	picpa	4922
EBI-632885	viguu	3920
EBI-633373	ebvg	10376
EBI-633462	antma	4151
EBI-636139	musvi-mv1lu	452646
EBI-636629	nicsp	4094
EBI-636817	dryca	97234
EBI-636836	ulvpe	3120
EBI-636855	rumob	3619
EBI-636872	anava	1172
EBI-637943	human-hcc-1143	9606
EBI-638697	strpn	170187
EBI-641007	caere	31234
EBI-641265	human-c33a	9606
EBI-681577	tobac-by_2	4097
EBI-682981	human-ct_26	9606
EBI-140	yeasx	4932
EBI-874	human	9606
EBI-937	rat	10116
EBI-1318	in vitro	-1
EBI-1329	mouse	10090
EBI-2155	sacba	4931
EBI-9025495	rv-a-1	10934
EBI-8105	klulc	28985
EBI-19796	canal	237561
EBI-9025532	foot-and-mouth disease virus	12110
EBI-9025566	grass carp reovirus	128987
EBI-49772	canlf	9615
EBI-49825	melga	9103
EBI-49941	rabit	9986
EBI-65725	xenla	8355
EBI-73787	ecolx	562
EBI-74116	drome	7227
EBI-74345	bovin	9913
EBI-74363	cavpo	10141
EBI-74381	crigr	10029
EBI-74399	crilo	10030
EBI-74434	pig	9823
EBI-74452	chick	9031
EBI-74792	borbu	139
EBI-77427	chlae	9534
EBI-78972	fusnu	851
EBI-79122	noss1	103690
EBI-79870	mesau	10036
EBI-9025598	btv 1	10905
EBI-9025633	hev-1	31769
EBI-97954	drosi	7240
EBI-97967	droma	7226
EBI-97980	drose	7238
EBI-9025663	rdv	10991
EBI-120820	drohy	7224
EBI-123052	locmi	7004
EBI-9025684	denv-2	11066
EBI-9025749	theiler's encephalomyelitis virus	12124
EBI-182579	droya	7245
EBI-9025775	bmcpv	110829
EBI-9025813	human rhinovirus sp.	169066
EBI-182908	aplca	6500
EBI-9025874	southern copperhead	8713
EBI-9026033	peppermint	34256
EBI-9026193	komagataella pastoris dsmz 70382	638632
EBI-9026288	cupne	106590
EBI-9026312	galdieria partita	83374
EBI-9026510	parve	34007
EBI-9026676	prosthecobacter dejongeii	48465
EBI-9026706	bothrops jararaca	8724
EBI-196428	fruit flies	7215
EBI-9026857	promu	103944
EBI-295768	schpm	4896
EBI-296171	caeel	6239
EBI-296447	rots1	37137
EBI-9027091	rhodococcus sp. ncimb12038	92694
EBI-297767	arath	3702
EBI-9027159	achromobacter xylosoxidans	85698
EBI-299523	macfa	9541
EBI-299756	bacsu	224308
EBI-300647	spofr	7108
EBI-300668	manse	7130
EBI-300865	9hepc	11103
EBI-301100	ecol6	199310
EBI-301124	eco57	83334
EBI-301148	theth	274
EBI-301200	shifl	623
EBI-301629	9tryp	5691
EBI-302097	oncmy	8022
EBI-1030933	npvac	46015
EBI-1031722	hhv1p	10308
EBI-1031984	strcl	1901
EBI-1032028	cxb3w	103904
EBI-1032284	pseth	1848
EBI-1032753	bpt4	10665
EBI-1032823	reosp	10891
EBI-1032831	reovl	10884
EBI-1033241	geose	1422
EBI-1033367	lolpe	1051067
EBI-1033811	humec	46018
EBI-1034141	klepn	573
EBI-1034474	lacca	1582
EBI-1034508	natph	2257
EBI-1034727	mhv68	33708
EBI-1034956	vaccp	31531
EBI-1035088	streq	119602
EBI-1035387	lismo	169963
EBI-1202216	mouse-flec	10090
EBI-1203199	bpm13	10870
EBI-1204373	schma	6183
EBI-1204547	drome-sl2	7227
EBI-1207710	human-rhek_1	9606
EBI-1208213	mouse-3t7	10090
EBI-1209554	helpj	85963
EBI-1210890	human-arpe_19	9606
EBI-1211079	rat-rle_phi13	10116
EBI-1211082	rat-b5t	10116
EBI-1212085	human-wi_38	9606
EBI-1213073	adem1	10530
EBI-1213099	mouse-3t6	10090
EBI-1215986	mouse-kp_3	10090
EBI-1219342	bovin-heart	9913
EBI-1219789	bosmu	30521
EBI-1224805	human-143b	9606
EBI-1223111	rat-pc-cl3	10116
EBI-1224182	mouse-mle15	10090
EBI-1228135	human-nci_h1792	9606
EBI-1236125	human-serum	9606
EBI-1236568	human-786_o	9606
EBI-1236827	human-wt8	9606
EBI-1245788	human-ct10	9606
EBI-1247363	human-sjsa_1	9606
EBI-1253293	human-prostate_carcinoma	9606
EBI-1253890	mycsm	1772
EBI-1253914	mycobacterium tuberculosis c	348776
EBI-1254253	human-lu1205	9606
EBI-1255042	arath-root	3702
EBI-1256928	mouse-t17	10090
EBI-1264619	human-nb4	9606
EBI-1264732	human-u937_pr9	9606
EBI-1266799	hcvj1	421877
EBI-1267648	mouse-pancreas	10090
EBI-1268992	neucr	367110
EBI-1271359	mouse-bw	10090
EBI-1271415	campylobacter jejuni subsp. jejuni 84-25	360110
EBI-1220739	hv1b1	11678
EBI-1220939	eiav9	11670
EBI-1224774	human-ovcar_3	9606
EBI-1225420	human-leukocyte	9606
EBI-1263960	rots4	36436
EBI-1271417	campylobacter jejuni subsp. jejuni 260.94	360108
EBI-1271419	camju	197
EBI-8755358	pantr-fibroblast	9598
EBI-1371590	mouse-h2_35	10090
EBI-8759795	sulfolobus acidocaldarius ron12/i	1028567
EBI-1372615	drome-kc	7227
EBI-5237588	human-daoy	9606
EBI-8762891	mouse-gc_2spd	10090
EBI-8784084	debha	284592
EBI-1373008	chlae-ts_cos	9534
EBI-1373038	human-nalm_6	9606
EBI-1373040	human-raji	9606
EBI-1373042	human-reh	9606
EBI-1373766	ricsi	272951
EBI-1375000	human-htert_hme1	9606
EBI-1382278	human-scc12f2	9606
EBI-1383008	human-synovial_fluid	9606
EBI-1383010	human-rheu_arth_syn_fluid	9606
EBI-1385371	human-bosc_23	9606
EBI-1385487	human-kmc_1	9606
EBI-1385811	human-hbc4	9606
EBI-1387755	rat-pc12h	10116
EBI-1388667	brasx	3717
EBI-8826392	baker's yeast-hf7	4932
EBI-1391100	chite	7153
EBI-1391898	mouse-f9	10090
EBI-1393200	human-hut78	9606
EBI-8848151	measa	36408
EBI-8851944	cals8	351627
EBI-1395227	drome-cl-8	7227
EBI-1395259	ecoli	83333
EBI-9027220	hydps	47421
EBI-1395949	human-arp_1	9606
EBI-1395953	human-mm1_144	9606
EBI-1396178	rat-nrk_52e	10116
EBI-9027221	strain atcc 49405 / dsm 1227 / om5	504832
EBI-1396826	laclm	416870
EBI-1396828	i68a0	387139
EBI-1396830	cloth	203119
EBI-1396832	humhe-2	435895
EBI-9027408	boiir	92519
EBI-1397776	myxxd	246197
EBI-1397907	colli	8932
EBI-9028823	human-kcl22	9606
EBI-9073933	human-fet	9606
EBI-1535542	bpphx	10847
EBI-1536327	human-mda_mb_435	9606
EBI-9074058	human-t47d-a18	9606
EBI-1541969	bovin-gm_7373	9913
EBI-1542238	mondo	13616
EBI-1542608	human-fibroblast	9606
EBI-1542624	human-milan_df	9606
EBI-1542719	human-hs68	9606
EBI-1206534	mouse-cad	10090
EBI-9074092	human-c4-2b	9606
EBI-1245515	human-pc9	9606
EBI-1252976	human-du_145	9606
EBI-1381366	human-bxpc3	9606
EBI-1386128	arath-cell-culture	3702
EBI-1386154	human-lapc4	9606
EBI-9079389	obelo	32570
EBI-1388575	human-a_204	9606
EBI-1496329	hcvj4	420174
EBI-1537059	mouse-p6	10090
EBI-1537234	human-mdapanc28	9606
EBI-1541972	mouse-ms_1	10090
EBI-1544078	mouse-epithelium	10090
EBI-1544162	mouse-r-	10090
EBI-9080110	pig-pae	9823
EBI-1544798	human-bt474	9606
EBI-1545038	human-ln3	9606
EBI-1545728	human-er2	9606
EBI-9081049	hbvdr	106820
EBI-1547210	human-u6a	9606
EBI-9084003	stohe	6123
EBI-1549031	human-hvts_sm1	9606
EBI-1549068	human-vsmc	9606
EBI-1549287	human-ags	9606
EBI-1549651	rat-frtl_5	10116
EBI-1549655	rat-pccl3	10116
EBI-1550591	mlvab	11788
EBI-1551201	human-tsa201	9606
EBI-9096025	salmonella enterica subsp. enterica serovar minnesota	70803
EBI-9097137	human-smmc7721	9606
EBI-9107989	sorma	5147
EBI-1555063	pig-endothelium	9823
EBI-1555567	vigun	3917
EBI-1555691	playo	73239
EBI-1557399	mouse-mimcd_3	10090
EBI-1557824	rat-pancreas	10116
EBI-1558706	human-xpcs2ba	9606
EBI-1558858	human-hpr_1	9606
EBI-1561288	ade12	28282
EBI-1563203	human-d645	9606
EBI-1566385	human-bosc	9606
EBI-1566970	arath-pollen	3702
EBI-1568812	human-seminal _fluid	9606
EBI-1569376	mouse-hepatocyte	10090
EBI-1570764	human-hela_s3	9606
EBI-1572136	human-rao_3	9606
EBI-1573406	blepharandra heteropetala	151797
EBI-1578363	human-h460	9606
EBI-1579070	9sync	1142
EBI-1581316	human-nctc	9606
EBI-1035591	rhoru	1085
EBI-1036453	pseuf	79676
EBI-1036571	yerpe	632
EBI-1036850	staa8	93061
EBI-1036915	cantr	5482
EBI-1037087	aquae	224324
EBI-1037398	helvi	7102
EBI-1037563	rhoer	1833
EBI-1766025	mouse-t-cell	10090
EBI-1766161	ecobd	469008
EBI-1798836	mouse-spinal-cord	10090
EBI-1801242	mouse-gt1_7	10090
EBI-1801829	human-ml_2	9606
EBI-1802091	human-hb1119	9606
EBI-9118324	klebsiella pneumoniae kctc 2242	1049565
EBI-1928505	yerpa	360102
EBI-1948583	drovi	7244
EBI-1989466	human-spermatocyte	9606
EBI-1989484	human-seminoma	9606
EBI-1994849	mouse-nfs56	10090
EBI-9118346	staa3	367830
EBI-2009477	rat-testis	10116
EBI-2027611	drome-body_muscle	7227
EBI-2028185	chick-embryonic_brain	9031
EBI-2121539	human-nff	9606
EBI-2125900	arath-pollen_tube	3702
EBI-9118364	stahj	279808
EBI-2257946	geomg	269799
EBI-9118395	paema	44252
EBI-2296907	chick-serum	9031
EBI-2338340	mouse-d3	10090
EBI-2364649	lambd	10710
EBI-2410564	petcr	4043
EBI-2506761	salty	99287
EBI-2506943	helps	512562
EBI-2526129	mouse-ovary	10090
EBI-2546941	human-imr_32	9606
EBI-2546956	human-imr_5	9606
EBI-2637629	human-gtl_16	9606
EBI-2638011	human-df25	9606
EBI-2640402	human-kasumi-1	9606
EBI-2878830	human-zr-75-1	9606
EBI-2931982	ecohs	331112
EBI-1632421	human-glioblastoma	9606
EBI-1639795	human-pd20	9606
EBI-1639843	crigr-aa8	10029
EBI-1646346	ixosc	6945
EBI-1765814	soybn	3847
EBI-1766330	human-astrocyte	9606
EBI-1776949	human-caski	9606
EBI-1778145	danre-embryo	7955
EBI-1781549	arath-protoplast	3702
EBI-1783989	xenla-xl2	8355
EBI-1789850	human-c3abr	9606
EBI-1789868	drome-pupa	7227
EBI-1789947	human-at3abr	9606
EBI-1997859	xenla-embryo	8355
EBI-1999930	human-kidney	9606
EBI-2121565	dicd3	198628
EBI-9118403	thebr	29323
EBI-9118419	cloce	394503
EBI-9118432	metbf	269797
EBI-2210769	bovin-pulmonary_artery	9913
EBI-2213584	haedu	233412
EBI-2291979	mouse-embryonic_brain	10090
EBI-2292177	caeel-larva	6239
EBI-2352223	arath-flower	3702
EBI-9118958	metka	190192
EBI-2436845	human-m07e	9606
EBI-2464220	chick-embryonic_spine	9031
EBI-2527224	human-placenta	9606
EBI-2527424	rsvsa	269446
EBI-2530436	caeel-neuron	6239
EBI-2547402	i34a1	211044
EBI-9119517	human-dermal fibroblasts	9606
EBI-2619820	human-sem	9606
EBI-2638535	bovin-testis	9913
EBI-2639690	mouse-fetal-myotubes	10090
EBI-2658857	mouse-synaptosome	10090
EBI-2659747	mouse-neuronal_precursor_cells(stem cells)	10090
EBI-2679184	chick-neuron	9031
EBI-2905460	arath-mesophyll	3702
EBI-2905537	mouse-intestinal_epitheliu	10090
EBI-2905540	mouse-hippocampus	10090
EBI-2905938	canen	3823
EBI-1632377	human-na	9606
EBI-1639821	human-hcs72	9606
EBI-1647226	human-ln18	9606
EBI-1749780	human-keratinocyte	9606
EBI-1751598	human-uvec	9606
EBI-1765175	sorbi	4558
EBI-1770011	mouse-testis	10090
EBI-1777263	human-h2009	9606
EBI-2795024	yeas2	574961
EBI-1798935	human-rko	9606
EBI-1811919	human-rpe	9606
EBI-1812418	rat-rbl_2h3	10116
EBI-2012871	agrt5	176299
EBI-2119023	human-sw620	9606
EBI-2126584	human-dohh2	9606
EBI-2210468	mycpn	272634
EBI-2210709	rat-lung	10116
EBI-2271499	mouse-myeloma	10090
EBI-2299219	tmob	31749
EBI-2420706	crypi	353152
EBI-2541610	human-sh_ep	9606
EBI-2566451	cavcu	10144
EBI-2607116	human-mel_553b	9606
EBI-2607660	mouse-3t3src	10090
EBI-2608556	hhv8p	868565
EBI-2623551	ebva8	82830
EBI-2735788	fratt	177416
EBI-2878934	human-nci_h292	9606
EBI-2879896	mouse-aml	10090
EBI-2879924	human-mv4-11	9606
EBI-2889353	mouse-myeloid_progenitors	10090
EBI-2891687	human-kopn_8	9606
EBI-2891946	bovin-retina	9913
EBI-2893457	gerhy	18101
EBI-2899225	rat-embryonic_forebrain	10116
EBI-2902148	human-pbmc	9606
EBI-2905934	human-hcc_7703	9606
EBI-2908785	bpp1	10678
EBI-2909379	rat-mes23_5	10116
EBI-1633981	mouse-cochlea	10090
EBI-1636606	mouse-brain-striatum	10090
EBI-1638865	human-eufa121	9606
EBI-1639892	crigr-40bp6	10029
EBI-1639962	human-bd180	9606
EBI-9007995	chlae-cmt3	9534
EBI-1646207	human-melanocyte	9606
EBI-1646855	human-b-cell	9606
EBI-9079943	rat-rfpec	10116
EBI-1766399	human-ln_229	9606
EBI-1767394	human-mel_rm	9606
EBI-1767397	human-mm200	9606
EBI-1769999	nicbe	4100
EBI-9119546	leiin	5671
EBI-9119552	bpphs	1217068
EBI-1779978	mouse-mtd_1a	10090
EBI-1781492	mouse-st2	10090
EBI-1790254	rat-nutu19	10116
EBI-1790283	mouse-tac2	10090
EBI-1799505	xanac	190486
EBI-1804400	nicgu	35889
EBI-1810083	human-monocyte	9606
EBI-1955846	human-dg75	9606
EBI-2010372	hiepi	102746
EBI-2010388	hiepl	221204
EBI-2265598	momch	3673
EBI-2291969	pumco-rdeb	9696
EBI-2436637	human-ccl-228	9606
EBI-9119554	rotrf	10933
EBI-2506546	vzvo	341980
EBI-9119571	den28	413041
EBI-2637720	human-suit_2	9606
EBI-2637838	human-df09	9606
EBI-2637957	human-df20	9606
EBI-2638050	human-df26	9606
EBI-2638349	human-fu_ov_1	9606
EBI-2638357	human-ov90	9606
EBI-2655857	caeel-coelomocyte	6239
EBI-2656375	mouse-imcd3	10090
EBI-2657343	mouse-fetal-myoblasts	10090
EBI-9119673	influenza a virus (a/turkey/italy/214845/2002(h7n3))	265120
EBI-2912455	aedae	7159
EBI-9119695	tmevb	12125
EBI-2793997	chiji	278060
EBI-2912483	aedae-hemocyte	7159
EBI-2912574	aedae-salivary_gland	7159
EBI-2913188	human-293e	9606
EBI-2922810	mouse-ovum	10090
EBI-2922813	mouse-morula	10090
EBI-2922816	mouse-zygote	10090
EBI-2927495	human-csf	9606
EBI-9119717	tmevd	12126
EBI-1633533	rat-kidney_inner_med	10116
EBI-1639703	human-eufa143	9606
EBI-9120310	pig-retina-rod_outer_segment	9823
EBI-9163360	rhodococcus sp. cir2	90325
EBI-1779912	mesau-bhk	10036
EBI-1779936	escherichia coli dh5[alpha]	668369
EBI-9206302	naneq	228908
EBI-9206317	pseudomonas sp. 130	81841
EBI-1794522	human-her911	9606
EBI-9206422	rat-plasma	10116
EBI-1803442	crigr-cho_ao3_1	10029
EBI-1811441	desvh	882
EBI-1812565	mouse-mast_cell	10090
EBI-2011718	shigella flexneri 2a	42897
EBI-2011832	rhoca	1061
EBI-2015217	human-rh30	9606
EBI-2027163	drome-larval_brain	7227
EBI-9207521	streptomyces sviceus atcc 29083	463191
EBI-2128097	bovin-adrenal medulla	9913
EBI-2128180	rat-brain-cerebellum	10116
EBI-2131738	brassica napus var. napus	138011
EBI-9212244	prunus dulcis x prunus persica	472390
EBI-2296794	human-wt47	9606
EBI-2296924	bovin-serum	9913
EBI-2296925	pig-serum	9823
EBI-2296926	mouse-serum	10090
EBI-9247506	human-xpv	9606
EBI-2337247	mouse-bv2	10090
EBI-2358649	human-h2122	9606
EBI-9247520	bpox2	10691
EBI-9247523	influenza a virus (a/vietnam/cl17/2004(h5n1))	380794
EBI-2408123	human-mrc5	9606
EBI-2409814	mouse-bone-marrow	10090
EBI-9253115	human-h1703	9606
EBI-2465148	staae	426430
